unique_carrier,origin,destination,is_delayed,departure_time,month,day_of_month,day_of_week,distance
RQ,ULX,TVQ,N,1143,M-12,D-16,W-5,1587
C6,URX,DIE,N,2356,M-3,D-22,W-3,2454
WT,HSR,VWP,Y,2012,M-1,D-14,W-5,1437
NB,UGR,CNY,N,1626,M-10,D-14,W-6,328
WT,HTE,RJB,N,1112,M-5,D-18,W-3,957
OZ,PTV,RTQ,N,1213,M-8,D-13,W-7,248
WP,RMT,CHP,N,1836,M-3,D-20,W-1,399
RQ,IQQ,MGF,N,1214,M-3,D-29,W-3,932
HH,PIH,PTV,N,1039,M-6,D-20,W-2,1482
IQ,CNY,PSZ,N,742,M-3,D-16,W-3,880
HH,RJB,YMV,N,1319,M-6,D-20,W-2,419
XJ,PLG,YTL,N,657,M-11,D-21,W-1,192
RQ,TVQ,CHP,N,1946,M-6,D-27,W-1,946
NB,ORN,OMH,N,1505,M-10,D-25,W-2,989
NB,SBH,HTE,N,1455,M-1,D-11,W-2,180
NB,OMH,LHW,N,1803,M-12,D-10,W-6,848
HH,PQM,PIH,N,634,M-7,D-9,W-6,599
TT,DTX,RIN,N,1713,M-10,D-22,W-6,919
HH,CVO,PQM,N,1025,M-5,D-1,W-7,357
MH,YTL,RMT,N,1055,M-3,D-9,W-4,1208
TT,HSR,OYT,N,1014,M-11,D-16,W-3,1197
MH,SPN,MQJ,N,1132,M-4,D-6,W-3,1025
NB,MOL,ORN,N,1440,M-7,D-22,W-5,284
WP,ULQ,YBR,Y,2205,M-2,D-25,W-5,587
HH,QTX,MQR,N,944,M-10,D-3,W-2,86
WT,OMY,HSR,N,1021,M-5,D-13,W-5,403
OZ,HSR,SPV,N,1109,M-4,D-15,W-5,268
LT,QTP,LBQ,N,1015,M-2,D-24,W-5,2762
HL,FPU,QFT,N,625,M-6,D-15,W-4,610
RQ,OPU,TVQ,N,737,M-5,D-8,W-7,906
NB,VWP,TCZ,N,620,M-6,D-2,W-4,321
NB,VWP,PTB,Y,1645,M-5,D-11,W-4,367
BN,OPU,RMT,N,1645,M-4,D-29,W-5,931
BN,OEJ,OMH,N,708,M-11,D-23,W-4,1066
C6,QFC,QTP,N,1343,M-6,D-29,W-3,231
TT,RIN,HSR,Y,1625,M-1,D-19,W-3,802
OZ,RIN,UBP,N,1014,M-6,D-4,W-6,604
NB,OMH,OLV,N,652,M-10,D-13,W-5,1142
NB,YPU,ORN,Y,1328,M-7,D-11,W-2,765
HL,CVG,MGF,N,1038,M-6,D-13,W-1,702
OZ,QFT,MOL,N,1138,M-4,D-29,W-5,478
WT,HSR,UGR,N,1320,M-10,D-13,W-4,849
HH,MSN,HSR,N,632,M-12,D-15,W-5,416
OZ,VAP,RIN,N,556,M-9,D-21,W-4,772
WT,RJB,PBT,Y,1545,M-6,D-30,W-5,846
TT,SRW,RIN,N,634,M-1,D-29,W-7,1062
BN,FSS,VUT,N,833,M-12,D-3,W-6,1041
NB,SRW,ORN,N,1750,M-7,D-10,W-7,632
WT,YTR,RJB,N,944,M-9,D-27,W-2,1452
NB,CWS,HTE,Y,1917,M-1,D-22,W-7,325
OZ,HSR,FSS,N,1210,M-12,D-24,W-7,137
OZ,QFT,RMT,N,845,M-6,D-17,W-6,214
WT,QTP,QTX,N,836,M-8,D-5,W-6,236
MH,YTL,MQJ,N,1423,M-5,D-23,W-2,1091
JG,TVQ,OPU,Y,1527,M-9,D-15,W-5,906
I9,RJB,QTP,Y,1444,M-11,D-2,W-4,629
TT,RVN,HSR,N,725,M-12,D-8,W-5,235
NB,TWP,RTQ,N,1145,M-10,D-17,W-1,189
OZ,HSR,JGG,N,1239,M-7,D-30,W-7,273
TT,OYT,CBT,N,2019,M-4,D-22,W-5,806
OZ,MLT,HSR,N,620,M-1,D-7,W-6,501
RQ,TVQ,GUP,N,1259,M-3,D-31,W-5,264
HH,QTX,HXS,Y,2123,M-10,D-2,W-7,49
NB,PTB,ULX,N,1445,M-2,D-27,W-1,304
IQ,OMH,ORN,N,1130,M-12,D-14,W-4,989
NB,POI,QTP,N,645,M-11,D-23,W-3,397
BN,OPU,PQM,N,1429,M-1,D-16,W-1,991
HL,DIE,CHP,N,1700,M-5,D-1,W-1,187
AG,HSR,CBT,N,2124,M-4,D-25,W-2,409
HH,YRT,PQM,N,625,M-8,D-12,W-5,188
IQ,OMH,ULQ,N,1626,M-9,D-6,W-2,861
WT,YTR,HTE,N,2130,M-2,D-15,W-2,2408
TT,HSR,CHP,N,1250,M-5,D-13,W-6,867
NB,QTX,TWP,N,1045,M-5,D-31,W-2,1242
TP,TBM,PJT,Y,1650,M-7,D-9,W-6,1449
AG,SRW,HSR,N,953,M-7,D-3,W-1,647
LU,QTP,PTB,Y,1742,M-4,D-1,W-5,258
XJ,JNS,TQC,Y,1354,M-6,D-26,W-1,143
IQ,TVQ,RIN,N,806,M-9,D-22,W-5,732
C6,OMH,DIE,N,1033,M-4,D-4,W-1,944
NB,ULX,JQU,N,935,M-11,D-8,W-2,347
JG,TVQ,FBG,N,1850,M-5,D-18,W-3,300
XJ,QSR,YTL,N,1624,M-4,D-7,W-4,301
OZ,MQV,HSR,N,645,M-4,D-30,W-7,599
BN,RMT,OPU,N,1935,M-10,D-19,W-4,931
BN,QTP,OPU,N,652,M-8,D-4,W-5,1300
RL,MLP,YTR,N,1848,M-2,D-3,W-4,441
NB,QTP,JQU,Y,1735,M-6,D-16,W-5,584
WT,QTX,LBQ,N,1404,M-3,D-30,W-3,2556
RQ,QFT,OMH,N,813,M-2,D-28,W-2,950
NB,CNY,VUT,N,650,M-8,D-12,W-5,842
NB,POI,QTX,N,1440,M-6,D-7,W-3,373
BN,OPU,URX,N,1717,M-3,D-9,W-3,1426
NB,OLV,ULQ,N,2008,M-2,D-11,W-5,290
RQ,SPN,TVQ,N,1058,M-10,D-21,W-6,515
WT,HSR,CRQ,N,1320,M-2,D-10,W-4,783
HH,SRO,URX,N,623,M-10,D-13,W-5,116
NB,CNY,HSI,N,1410,M-6,D-12,W-1,159
RQ,PIH,TVQ,N,1354,M-4,D-22,W-6,2139
I9,MTE,RJB,N,1559,M-2,D-26,W-7,1224
NB,OPA,VUT,N,639,M-3,D-17,W-4,487
BN,OJO,OMY,N,839,M-1,D-26,W-4,392
WP,VUT,UYV,N,1726,M-7,D-4,W-1,873
OZ,HSR,LUB,N,1945,M-2,D-12,W-7,738
OZ,HSR,VWQ,N,1637,M-1,D-6,W-5,585
BN,HSR,OPU,N,1257,M-6,D-14,W-2,334
BN,RVN,PAS,N,1032,M-7,D-30,W-7,374
RQ,TVQ,UCY,Y,2106,M-7,D-16,W-6,545
MH,YTL,DTX,N,1305,M-8,D-15,W-2,817
OZ,OJO,RIN,N,1916,M-8,D-26,W-5,432
WT,FJF,RJB,N,1411,M-12,D-3,W-7,836
HL,MGF,MLH,N,1458,M-2,D-7,W-1,342
NB,CNY,SRW,Y,2130,M-5,D-10,W-2,255
BN,RVN,FSS,N,1528,M-8,D-7,W-7,120
RL,YTR,OLV,Y,2101,M-1,D-15,W-6,418
XJ,JNS,CWI,N,1320,M-1,D-10,W-2,282
NB,ORN,IQQ,N,1100,M-10,D-13,W-4,1166
MH,YTL,URX,Y,2349,M-8,D-22,W-2,1825
WP,MQV,RMT,Y,1551,M-12,D-15,W-5,331
